primaryHazard,city,countyCode,county,stateAbbreviation,zipcode,structureType,yearBuilt,estimatedPurchasePrice,insuranceType,ownerType,id
Flooding,Barataria,51,Jefferson,LA,70036,Residential,1997,409138,NFIP Insurance,Individual,f73c5d60-305d-4686-b950-2533335f5c5a
Flooding,Marrero,51,Jefferson,LA,70072,Residential,1968,142770,NFIP Insurance,Individual,6cf636bd-30d3-4d32-9ad8-9bf80deb1553
Flooding,Kenner,51,Jefferson,LA,70065,Residential,1986,195810,NFIP Insurance,Individual,a1a8fec0-38fc-4a83-8b3a-9167e4521677
Flooding,Belhaven,13,Beaufort,NC,27810,Residential,1971,205000,NFIP Insurance,Individual,ac09a476-dd84-4874-8eb8-7f58d1398a72
Flooding,Belhaven,13,Beaufort,NC,27810,Residential,1900,205000,NFIP Insurance,Individual,45b223dc-68e0-4848-b392-bed76bb44770
Flooding,Belhaven,13,Beaufort,NC,27810,Residential,1910,205000,NFIP Insurance,Individual,4adb3a2b-f0d5-4e47-8df8-aed22b317ed7
Flooding,Belhaven,13,Beaufort,NC,27810,Residential,1904,205000,NFIP Insurance,Individual,e10b212c-2649-4223-bb2c-78e47e7567e6
Flooding,Darien,1,Fairfield,CT,6820,Residential,1951,299070,NFIP Insurance; Private Insurance,Individual,f5bff9cc-7ee8-4ea9-97fc-2fc167765863
Flooding,Metairie,51,Jefferson,LA,70003,Residential,1972,300210,NFIP Insurance,Individual,bc64ebe0-5303-4580-b202-545422f5609f
Earthquake,Bountiful,11,Davis,UT,84010,Education,1967,10233997,Private Insurance,Government,c214158f-45d7-4f72-af19-f9a2166cf514
Flooding,Greensboro,81,Guilford,NC,27407,Residential,1955,236888,NFIP Insurance,Individual,58af4113-4e35-482e-b395-da96748250e4
Flooding,Greensboro,81,Guilford,NC,27407,Residential,1955,148238,NFIP Insurance,Individual,b74998cd-c182-4d93-976e-054b6aaa507a
Flooding,Winnetka,31,Cook,IL,60093,Residential,1911,139502,Self-Insured,Individual,3cc8fd84-5008-4f9b-8612-15d8b70439b5
Flooding,Winnetka,31,Cook,IL,60093,Residential,2011,365023,Self-Insured,Individual,a35840ff-90db-4a0e-a4f3-fb0cd1f534c0
Flooding,Winnetka,31,Cook,IL,60093,Residential,2012,112026,Self-Insured,Individual,54e12402-34c9-4ad8-89a7-6a7edce254d4
Flooding,Winnetka,31,Cook,IL,60093,Residential,1912,48690,Self-Insured,Estate/Trust,fc49b8bc-5d86-4087-a732-7db556501ee1
Flooding,Winnetka,31,Cook,IL,60093,Residential,1954,130884,Self-Insured,Individual,b71ea05c-0f4d-4141-80e5-6f3dd3bed25d
Flooding,Winnetka,31,Cook,IL,60093,Residential,1913,125204,Self-Insured,Individual,720cb7f1-6e6b-4c75-b17e-4b9768325898
Flooding,Winnetka,31,Cook,IL,60093,Residential,1957,144139,Self-Insured,Individual,318f73ec-b102-4c0c-a34f-62ab4ed90968
